Entity,Code,Year,"Gross enrolment ratio, tertiary, gender parity index (GPI)"
Luxembourg,LUX,2008,0.9634799957275391
Luxembourg,LUX,2010,1.1090799570083603
Luxembourg,LUX,2012,1.1351599693298302
Macao,MAC,1989,0.40259999036788896
Macao,MAC,1990,0.378930002450943
Macao,MAC,1991,0.48003000020980796
Macao,MAC,1992,0.5542200207710269
Macao,MAC,1993,0.593249976634979
Macao,MAC,1994,0.681079983711243
Macao,MAC,1997,0.8398699760437008
Macao,MAC,1999,0.7322199940681461
Macao,MAC,2000,0.911249995231628
Macao,MAC,2001,0.675159990787506
Macao,MAC,2002,0.499240010976791
Macao,MAC,2003,0.490669995546341
Macao,MAC,2004,0.5801299810409549
Macao,MAC,2005,0.638199985027313
Macao,MAC,2006,0.7340899705886841
Macao,MAC,2007,0.864260017871857
Macao,MAC,2008,0.918940007686614
Macao,MAC,2009,0.9345800280570981
Macao,MAC,2010,0.97189998626709
Macao,MAC,2011,0.989459991455078
Macao,MAC,2012,1.23746001720428
Macao,MAC,2013,1.27725005149841
Macao,MAC,2014,1.30745995044708
Macao,MAC,2015,1.32536995410919
Madagascar,MDG,1971,0.450709998607636
Madagascar,MDG,1973,0.37237998843193104
Madagascar,MDG,1976,1.0656700134277302
Madagascar,MDG,1977,0.5535200238227839
Madagascar,MDG,1978,0.518280029296875
Madagascar,MDG,1979,0.487379997968674
Madagascar,MDG,1986,0.618650019168854
Madagascar,MDG,1987,0.685599982738495
Madagascar,MDG,1989,0.750180006027222
Madagascar,MDG,1990,0.767949998378754
Madagascar,MDG,1991,0.810100018978119
Madagascar,MDG,1994,0.7732899785041809
Madagascar,MDG,1995,0.8308899998664859
Madagascar,MDG,1996,0.813090026378632
Madagascar,MDG,1997,0.8172699809074399
Madagascar,MDG,1998,0.8356299996376041
Madagascar,MDG,1999,0.8446000218391422
Madagascar,MDG,2000,0.867269992828369
Madagascar,MDG,2001,0.8397899866104129
Madagascar,MDG,2002,0.8347700238227841
Madagascar,MDG,2003,0.834640026092529
Madagascar,MDG,2004,0.902159988880157
Madagascar,MDG,2005,0.8912000060081479
Madagascar,MDG,2006,0.872259974479675
Madagascar,MDG,2007,0.886579990386963
Madagascar,MDG,2008,0.8937000036239621
Madagascar,MDG,2009,0.903370022773743
Madagascar,MDG,2010,0.911660015583038
Madagascar,MDG,2011,0.9272400140762329
Madagascar,MDG,2012,0.917089998722076
Madagascar,MDG,2013,0.937279999256134
Madagascar,MDG,2014,0.9178500175476071
Malawi,MWI,1980,0.346749991178513
Malawi,MWI,1981,0.37117001414298995
Malawi,MWI,1982,0.313259989023209
Malawi,MWI,1983,0.31154999136924705
Malawi,MWI,1984,0.28428998589515697
Malawi,MWI,1985,0.28865998983383195
Malawi,MWI,1986,0.29899999499321
Malawi,MWI,1987,0.334600001573563
Malawi,MWI,1988,0.32120999693870506
Malawi,MWI,1989,0.245939999818802
Malawi,MWI,1990,0.352530002593994
Malawi,MWI,1991,0.349819988012314
Malawi,MWI,1992,0.35782998800277704
Malawi,MWI,1993,0.313230007886887
Malawi,MWI,1994,0.364499986171722
Malawi,MWI,1995,0.41269999742507896
Malawi,MWI,1996,0.42605999112129206
Malawi,MWI,1999,0.377429991960526
Malawi,MWI,2000,0.37773999571800204
Malawi,MWI,2002,0.40913999080658003
Malawi,MWI,2004,0.5417799949645999
Malawi,MWI,2005,0.5409299731254579
Malawi,MWI,2006,0.500370025634766
Malawi,MWI,2007,0.500450015068054
Malawi,MWI,2010,0.605050027370453
Malawi,MWI,2011,0.636290013790131
Malaysia,MYS,1979,0.604579985141754
Malaysia,MYS,1980,0.60683000087738
Malaysia,MYS,1982,0.735660016536713
Malaysia,MYS,1983,0.810590028762817
Malaysia,MYS,1984,0.759050011634827
Malaysia,MYS,1985,0.81563001871109
Malaysia,MYS,1988,0.709909975528717
Malaysia,MYS,1989,0.73785001039505
Malaysia,MYS,1998,1.06559002399445
Malaysia,MYS,1999,1.0163400173187298
Malaysia,MYS,2000,1.05798995494843
Malaysia,MYS,2001,1.21967005729675
Malaysia,MYS,2002,1.26791000366211
Malaysia,MYS,2003,1.38936996459961
Malaysia,MYS,2004,1.2914899587631201
Malaysia,MYS,2005,1.32404005527496
Malaysia,MYS,2006,1.27550995349884
Malaysia,MYS,2007,1.33519005775452
Malaysia,MYS,2008,1.33855998516083
Malaysia,MYS,2009,1.32597005367279
Malaysia,MYS,2010,1.37343001365662
Malaysia,MYS,2011,1.3466800451278702
Malaysia,MYS,2012,1.37518000602722
Malaysia,MYS,2013,1.4045799970626798
Malaysia,MYS,2014,1.47254002094269
Malaysia,MYS,2015,1.5270500183105502
Maldives,MDV,2003,2.2841899394989
Maldives,MDV,2007,1.58264994621277
Maldives,MDV,2008,1.1237000226974498
Maldives,MDV,2014,1.6338000297546398
Mali,MLI,1971,0.11868999898433698
Mali,MLI,1975,0.10413999855518302
Mali,MLI,1976,0.117449998855591
Mali,MLI,1977,0.12161999940872198
Mali,MLI,1978,0.13798999786377
Mali,MLI,1979,0.13468000292778
Mali,MLI,1980,0.13051000237464902
Mali,MLI,1982,0.12572999298572501
Mali,MLI,1983,0.14147999882698098
Mali,MLI,1985,0.152899995446205
Mali,MLI,1986,0.15060999989509602
Mali,MLI,1987,0.153180003166199
Mali,MLI,1989,0.159160003066063
Mali,MLI,1990,0.15227000415325198
Mali,MLI,1991,0.158950001001358
Mali,MLI,1992,0.161100000143051
Mali,MLI,1993,0.17915999889373802
Mali,MLI,1995,0.177949994802475
Mali,MLI,1996,0.206169992685318
Mali,MLI,1997,0.24635000526905101
Mali,MLI,1998,0.25769999623298606
Mali,MLI,1999,0.47754999995231606
Mali,MLI,2000,0.48906001448631303
Mali,MLI,2001,0.5131099820137021
Mali,MLI,2002,0.5139399766922
Mali,MLI,2008,0.47323998808860795
Mali,MLI,2009,0.42666000127792403
Mali,MLI,2010,0.422619998455048
Mali,MLI,2011,0.47100999951362604
Mali,MLI,2012,0.425700008869171
Malta,MLT,1972,0.38962000608444197
Malta,MLT,1973,0.461389988660812
Malta,MLT,1974,0.47437000274658203
Malta,MLT,1975,0.45706000924110396
Malta,MLT,1976,0.5437200069427489
Malta,MLT,1977,0.36228999495506303
Malta,MLT,1978,0.32370999455452004
Malta,MLT,1979,0.250660002231598
Malta,MLT,1980,0.333600014448166
Malta,MLT,1981,0.31573000550270097
Malta,MLT,1982,0.271869987249374
Malta,MLT,1983,0.284520000219345
Malta,MLT,1984,0.353210002183914
Malta,MLT,1985,0.454939991235733
Malta,MLT,1986,0.513639986515045
Malta,MLT,1987,0.5563899874687189
Malta,MLT,1988,0.603779971599579
Malta,MLT,1989,0.6488500237464899
Malta,MLT,1990,0.7738400101661679
Malta,MLT,1991,0.82694000005722
Malta,MLT,1992,0.932240009307861
Malta,MLT,1993,0.985759973526
Malta,MLT,1994,1.0129200220108001
Malta,MLT,1995,0.986810028553009
Malta,MLT,1996,1.0481599569320699
Malta,MLT,1997,1.12003004550934
Malta,MLT,1998,1.0791200399398801
Malta,MLT,1999,1.10924005508423
Malta,MLT,2000,1.20372998714447
Malta,MLT,2001,1.2769600152969398
Malta,MLT,2002,1.3909300565719598
Malta,MLT,2003,1.39374005794525
Malta,MLT,2004,1.3314399719238301
Malta,MLT,2005,1.3542399406433099
Malta,MLT,2006,1.39324998855591
Malta,MLT,2007,1.4214799404144298
Malta,MLT,2008,1.4476699829101598
Malta,MLT,2009,1.36530005931854
Malta,MLT,2010,1.3520799875259297
Malta,MLT,2011,1.36401998996735
Malta,MLT,2012,1.3572700023651103
Malta,MLT,2013,1.3349599838256798
Malta,MLT,2014,1.30719995498657
Malta,MLT,2015,1.3703800439834601
Marshall Islands,MHL,2002,1.28468000888824
Marshall Islands,MHL,2012,0.9237800240516659
Mauritania,MRT,1978,0.111699998378754
Mauritania,MRT,1988,0.15183000266552
Mauritania,MRT,1989,0.152979999780655
Mauritania,MRT,1990,0.133340001106262
Mauritania,MRT,1991,0.17042000591754902
Mauritania,MRT,1992,0.178790003061295
Mauritania,MRT,1993,0.178770005702972
Mauritania,MRT,1994,0.21333000063896201
Mauritania,MRT,1995,0.211640000343323
Mauritania,MRT,1996,0.217999994754791
Mauritania,MRT,1997,0.187549993395805
Mauritania,MRT,1998,0.200910001993179
Mauritania,MRT,1999,0.216949999332428
Mauritania,MRT,2001,0.20848999917507197
Mauritania,MRT,2002,0.27900999784469604
Mauritania,MRT,2003,0.282110005617142
Mauritania,MRT,2004,0.320939987897873
Mauritania,MRT,2005,0.33660998940467796
Mauritania,MRT,2006,0.356770008802414
Mauritania,MRT,2008,0.406139999628067
Mauritania,MRT,2009,0.404570013284683
Mauritania,MRT,2010,0.40577998757362393
Mauritania,MRT,2011,0.415969997644424
Mauritania,MRT,2012,0.42890998721122703
Mauritania,MRT,2013,0.444020003080368
Mauritania,MRT,2015,0.503170013427734
Mauritania,MRT,2016,0.507409989833832
Mauritius,MUS,1970,0.0493299998342991
Mauritius,MUS,1971,0.229469999670982
Mauritius,MUS,1972,0.163509994745255
Mauritius,MUS,1973,0.19029000401496898
Mauritius,MUS,1974,0.184119999408722
Mauritius,MUS,1975,0.157110005617142
Mauritius,MUS,1976,0.205400004982948
Mauritius,MUS,1977,0.332590013742447
Mauritius,MUS,1978,0.358240008354187
Mauritius,MUS,1979,0.37338998913765004
Mauritius,MUS,1980,0.44071000814437894
Mauritius,MUS,1981,0.412609994411469
Mauritius,MUS,1982,0.345620006322861
Mauritius,MUS,1983,0.4379000067710879
Mauritius,MUS,1984,0.39276000857353205
Mauritius,MUS,1985,0.6004300117492679
Mauritius,MUS,1986,0.522830009460449
Mauritius,MUS,1987,0.645969986915588
Mauritius,MUS,1988,0.5223900079727171
Mauritius,MUS,1989,0.541830003261566
Mauritius,MUS,1990,0.595709979534149
Mauritius,MUS,1991,0.730050027370453
Mauritius,MUS,1994,0.846069991588593
Mauritius,MUS,1995,0.99864000082016
Mauritius,MUS,1997,0.842700004577637
Mauritius,MUS,1999,0.79992002248764
Mauritius,MUS,2000,0.854170024394989
Mauritius,MUS,2001,1.2423199415206898
Mauritius,MUS,2002,0.9788900017738341
Mauritius,MUS,2003,0.9220100045204159
Mauritius,MUS,2004,0.9671199917793271
Mauritius,MUS,2005,1.03139996528625
Mauritius,MUS,2006,1.00682997703552
Mauritius,MUS,2007,1.17138004302979
Mauritius,MUS,2008,1.2369500398635902
Mauritius,MUS,2009,1.19281995296478
Mauritius,MUS,2010,1.20875000953674
Mauritius,MUS,2011,1.30455994606018
Mauritius,MUS,2012,1.3279700279235802
Mauritius,MUS,2013,1.22406995296478
Mauritius,MUS,2014,1.22967004776001
Mauritius,MUS,2015,1.31428003311157
Mexico,MEX,1971,0.25705000758171104
Mexico,MEX,1972,0.28202998638153104
Mexico,MEX,1977,0.370770007371902
Mexico,MEX,1978,0.40200001001358004
Mexico,MEX,1980,0.467260003089905
Mexico,MEX,1981,0.485989987850189
Mexico,MEX,1982,0.512210011482239
Mexico,MEX,1983,0.5426999926567079
Mexico,MEX,1984,0.551400005817413
Mexico,MEX,1993,0.82218998670578
Mexico,MEX,1994,0.852720022201538
Mexico,MEX,1995,0.8758500218391422
Mexico,MEX,1996,0.9022600054740909
Mexico,MEX,1997,0.9126600027084351
Mexico,MEX,1998,0.9229000210762021
Mexico,MEX,1999,0.9292200207710269
Mexico,MEX,2000,0.942480027675629
Mexico,MEX,2001,0.9530799984931949
Mexico,MEX,2002,0.9672999978065491
Mexico,MEX,2003,0.983759999275208
Mexico,MEX,2004,1.0012600421905502
Mexico,MEX,2005,1.01874995231628
Mexico,MEX,2006,1.02526998519897
Mexico,MEX,2007,1.0332000255584701
Mexico,MEX,2008,1.03798997402191
Mexico,MEX,2009,1.0404200553894
Mexico,MEX,2010,1.0340499877929699
Mexico,MEX,2011,1.02508997917175
Mexico,MEX,2012,1.01561999320984
Mexico,MEX,2013,1.00552999973297
Mexico,MEX,2014,1.00589001178741
Micronesia (country),FSM,1979,0.47020998597145097
Micronesia (country),FSM,1980,0.564390003681183
Micronesia (country),FSM,1981,0.32651999592781106
Micronesia (country),FSM,1982,0.879469990730286
Middle East and North Africa,,1970,0.45704001188278204
Middle East and North Africa,,1971,0.45745000243187
